total time excited,329.298,
total time image,60.379,
total number of excited,122,
total number of image,32782,
average time excited,2.69916,
average time image,0.00184183,
2018-04-13-13-03-07-861,excited,2.778
2018-04-13-13-03-54-082,excited,0.086
2018-04-13-13-03-54-269,Image,0.187
2018-04-13-13-03-54-903,excited,0.634
2018-04-13-13-03-55-087,Image,0.184
2018-04-13-13-03-57-112,excited,2.024
2018-04-13-13-05-01-196,excited,0.156
2018-04-13-13-05-15-878,Image,14.682
2018-04-13-13-05-17-941,excited,2.063
2018-04-13-13-05-38-631,excited,0.279
2018-04-13-13-05-40-097,Image,1.466
2018-04-13-13-05-42-160,excited,2.063
2018-04-13-13-06-26-118,excited,2.729
2018-04-13-13-06-47-985,excited,2.675
2018-04-13-13-09-26-560,excited,2.695
2018-04-13-13-09-41-040,excited,2.718
2018-04-13-13-09-44-423,excited,2.704
2018-04-13-13-11-02-782,excited,2.704
2018-04-13-13-18-38-460,excited,2.716
2018-04-13-13-18-44-438,excited,2.806
2018-04-13-13-19-57-347,excited,2.71
2018-04-13-13-20-07-888,excited,0.187
2018-04-13-13-20-09-037,Image,1.149
2018-04-13-13-20-10-151,excited,1.114
2018-04-13-13-20-10-976,Image,0.824
2018-04-13-13-20-13-043,excited,2.067
2018-04-13-13-20-28-399,excited,2.802
2018-04-13-13-21-21-927,excited,2.678
2018-04-13-13-22-05-007,excited,2.732
2018-04-13-13-22-09-351,excited,2.686
2018-04-13-13-22-12-349,excited,2.7
2018-04-13-13-22-40-906,excited,2.682
2018-04-13-13-23-44-600,excited,2.716
2018-04-13-13-24-11-425,excited,2.7
2018-04-13-13-24-18-340,excited,2.718
2018-04-13-13-24-36-233,excited,2.758
2018-04-13-13-25-08-556,excited,2.684
2018-04-13-13-25-13-845,excited,0.066
2018-04-13-13-25-13-973,Image,0.127
2018-04-13-13-25-16-064,excited,2.091
2018-04-13-13-26-16-317,excited,2.757
2018-04-13-13-27-03-570,excited,2.718
2018-04-13-13-28-06-364,excited,2.711
2018-04-13-13-28-24-418,excited,2.695
2018-04-13-13-29-22-415,excited,2.776
2018-04-13-13-29-31-419,excited,2.688
2018-04-13-13-30-04-371,excited,2.695
2018-04-13-13-32-18-093,excited,2.75
2018-04-13-13-32-52-550,excited,2.746
2018-04-13-13-34-48-140,excited,2.725
2018-04-13-13-35-09-563,excited,0.067
2018-04-13-13-35-09-666,Image,0.103
2018-04-13-13-35-11-766,excited,2.1
2018-04-13-13-35-55-174,excited,2.728
2018-04-13-13-36-32-182,excited,2.712
2018-04-13-13-37-20-607,excited,2.761
2018-04-13-13-38-38-943,excited,0.197
2018-04-13-13-38-39-071,Image,0.127
2018-04-13-13-38-41-149,excited,2.078
2018-04-13-13-39-59-168,excited,2.701
2018-04-13-13-40-03-172,excited,2.695
2018-04-13-13-40-04-479,excited,0.093
2018-04-13-13-40-19-005,Image,14.526
2018-04-13-13-40-21-150,excited,2.145
2018-04-13-13-40-36-205,excited,2.742
2018-04-13-13-41-53-834,excited,2.8
2018-04-13-13-42-04-817,excited,2.682
2018-04-13-13-42-31-657,excited,2.778
2018-04-13-13-42-59-532,excited,0.197
2018-04-13-13-42-59-940,Image,0.408
2018-04-13-13-43-01-952,excited,2.011
2018-04-13-13-43-13-315,excited,2.777
2018-04-13-13-43-20-357,excited,0.029
2018-04-13-13-43-21-295,Image,0.938
2018-04-13-13-43-21-470,excited,0.175
2018-04-13-13-43-40-405,Image,18.934
2018-04-13-13-43-42-504,excited,2.099
2018-04-13-13-44-34-352,excited,2.702
2018-04-13-13-45-44-348,excited,2.696
2018-04-13-13-46-09-141,excited,2.757
2018-04-13-13-46-21-751,excited,2.708
2018-04-13-13-46-46-286,excited,2.712
2018-04-13-13-47-23-420,excited,2.708
2018-04-13-13-48-59-914,excited,2.672
2018-04-13-13-49-35-591,excited,2.69
2018-04-13-13-50-49-268,excited,2.673
2018-04-13-13-51-09-060,excited,2.687
2018-04-13-13-51-13-523,excited,2.768
2018-04-13-13-51-38-471,excited,2.686
2018-04-13-13-52-27-941,excited,2.702
2018-04-13-13-52-33-273,excited,2.663
2018-04-13-13-52-53-878,excited,2.722
2018-04-13-13-53-07-724,excited,2.757
2018-04-13-13-53-22-339,excited,2.751
2018-04-13-13-53-31-803,excited,2.709
2018-04-13-13-54-26-412,excited,0.151
2018-04-13-13-54-26-521,Image,0.109
2018-04-13-13-54-28-601,excited,2.08
2018-04-13-13-55-28-019,excited,2.678
2018-04-13-13-55-44-015,excited,2.756
2018-04-13-13-55-53-459,excited,2.698
2018-04-13-13-55-56-523,excited,2.715
2018-04-13-13-56-27-164,excited,2.814
2018-04-13-13-56-52-602,excited,2.709
2018-04-13-13-57-25-649,excited,2.702
2018-04-13-13-57-38-159,excited,2.806
2018-04-13-13-58-53-041,excited,2.718
2018-04-13-13-58-58-536,excited,2.707
2018-04-13-13-59-10-858,excited,2.713
2018-04-13-13-59-27-228,excited,2.699
2018-04-13-13-59-57-249,excited,2.686
2018-04-13-14-00-42-819,excited,2.71
2018-04-13-14-01-28-538,excited,2.683
2018-04-13-14-01-34-745,excited,2.728
2018-04-13-14-02-09-195,excited,2.718
2018-04-13-14-02-19-062,excited,2.666
2018-04-13-14-02-26-132,excited,2.726
2018-04-13-14-02-56-137,excited,2.682
2018-04-13-14-03-13-783,excited,2.688
2018-04-13-14-03-21-404,excited,2.709
2018-04-13-14-03-55-119,excited,2.753
2018-04-13-14-04-01-300,excited,0.21
2018-04-13-14-04-01-391,Image,0.091
2018-04-13-14-04-03-419,excited,2.028
2018-04-13-14-05-04-717,excited,2.657
2018-04-13-14-05-59-758,excited,2.741
2018-04-13-14-06-10-034,excited,2.728
2018-04-13-14-07-01-806,excited,2.767
2018-04-13-14-07-17-686,excited,2.748
2018-04-13-14-08-06-670,excited,0.107
2018-04-13-14-08-12-125,Image,5.455
2018-04-13-14-08-13-172,excited,1.046
2018-04-13-14-09-47-274,excited,0.684
2018-04-13-14-09-47-825,Image,0.551
2018-04-13-14-10-08-967,excited,21.142
2018-04-13-14-10-21-403,excited,33.577
2018-04-13-14-10-21-921,Image,0.518
2018-04-13-14-10-24-095,excited,2.173
2018-04-13-14-10-55-206,excited,2.758
2018-04-13-14-11-12-924,excited,2.725
